p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
612,1015009,100,2,0,1,0,None,None
613,1015008,100,2,0,1,0,None,None
615,1015006,100,2,0,1,0,None,None
616,1015005,100,2,0,1,0,None,None
621,1013014,0,2,1,0,0,None,None
622,1013013,100,2,0,1,0,None,None
623,1013012,100,2,0,1,0,None,None
624,1105085,0,2,1,0,0,None,None
625,1013010,100,2,0,1,0,None,None
626,1013009,100,2,0,1,0,None,None
627,1013008,100,2,0,1,0,None,None
628,1013007,100,2,0,1,0,None,None
629,1105090,100,2,0,1,0,None,None
630,1105091,100,2,0,1,0,None,None
631,1013004,100,2,0,1,0,None,None
632,1013003,100,2,0,1,0,None,None
633,1013002,100,2,0,1,0,None,None
634,1013001,100,2,0,1,0,None,None
635,1012003,0,2,1,0,0,None,None
636,1012002,0,2,1,0,0,None,None
638,1011018,100,2,0,1,0,None,None
639,1011017,100,2,0,1,0,None,None
640,1011016,100,2,0,1,0,None,None
641,1011015,100,2,0,1,0,None,None
642,1011014,10,2,0,1,0,None,None
643,1011013,100,2,0,1,0,None,None
644,1011012,100,2,0,1,0,None,None
645,1011011,100,2,0,1,0,None,None
646,1011010,100,2,0,1,0,None,None
647,1011009,100,2,0,1,0,None,None
648,1011008,100,2,0,1,0,None,None
649,1011007,100,2,0,1,0,None,None
650,1011006,100,2,0,1,0,None,None
651,1011005,100,2,0,1,0,None,None
652,1011004,100,2,0,1,0,None,None
678,1009009,0,2,1,0,0,None,None
679,1009008,0,2,1,0,0,None,None
680,1009007,0,2,1,0,0,None,None
681,1009006,0,9,0,1,0,None,None
684,1008016,0,2,1,0,0,None,None
685,1008015,0,2,1,0,0,None,None
686,1008014,0,2,1,0,0,None,None
688,1008012,0,2,1,0,0,None,None
689,1008011,0,2,1,0,0,None,None
690,1008010,0,2,1,0,0,None,None
692,1008008,0,2,1,0,0,None,None
698,1106049,100,2,0,1,0,None,None
703,1106054,10,2,0,1,0,None,None
714,1106065,0,2,1,0,0,None,None
715,1106066,0,2,1,0,0,None,None
716,1004009,0,2,1,0,0,None,None
717,1004006,0,2,1,0,0,None,None
718,1004005,0,2,1,0,0,None,None
719,1004004,0,2,1,0,0,None,None
720,1004003,0,2,1,0,0,None,None
721,1004002,0,2,1,0,0,None,None
734,1002001,100,2,0,1,0,None,None
735,1001006,0,2,1,0,0,None,None
736,1001005,0,2,1,0,0,None,None
